"item_code","deskripsi","qty_on_hand","min_stock","max_stock","is_critical","lokasi_rak"
"Q-10750-00","Hollow Baja Ringan 4x4cm, Tebal 0.5mm, Panjang 4m; ; ;","0","0","0","Tidak","-"
"P-17656-00","Hollow SS201 10x10x1.2 mm","0","0","0","Tidak","-"
"Q-10514-00","Hollow SUS304 30x30x3.0mm","0","0","0","Tidak","-"
"P-17253-00","Hose Yee Joint Kuningan 1/2 inch","0","0","0","Tidak","-"
"P-17065-00","Hot Gun GHG630 2000 w Bosch; ; ;","0","0","0","Tidak","-"
"P-51785-00","Hour Meter LE8N-BF Autonics; ; ;","0","0","0","Tidak","-"
"Q-10987-00","HPL Edging Abu 2.2cm; Taco; ;","0","0","0","Tidak","-"
"P-52369-00","HVAC - Pressure Flow Control MF PFC Ver.3 24 VAC/VDC 0 - 100 Pa Micatrone; ; ;","3","1","2","Tidak","L4"
"O-51720-00","I/P CONVERTER TYPE 6126; PART NO :CJ030010","0","0","0","Tidak","-"
"P-15436-00","IAF G Series (G4); Average effeciency : 25 30%; Size : 16 x 25 x 1 (395 x 630 x 25 mm); Rec.final r; ; ;","0","0","0","Tidak","-"
"P-14443-00","IAF HB Series (Hepa Filter) H13, Min Eff: 99,99% on 0,3 micron, Size: 610x305x93 mm; ; ;","0","0","0","Tidak","-"
"P-14444-00","IAF HB Series (Hepa Filter) H13, Min Eff: 99,99% on 0,3 micron, Size: 610x610x93 mm; ; ;","0","0","0","Tidak","-"
"P-14442-00","IAF HBHV Series (Hepa Filter) H13, Min Eff: 99,99% on 0,3 micron, Size: 610x610x292 mm; ; ;","0","0","0","Tidak","-"
"P-15036-00","IAF HBMP Series (H13); Minimum effeciency : 99.99% on 0.3 micron;Size;1220X610X93 mm; Rec.final resi; ; ;","0","0","0","Tidak","-"
"P-15037-00","IAF HBMP Series (H13); Minimum effeciency : 99.99% on 0.3 micron;Size;305X305X93 mm; Rec.final resis; ; ;","0","0","0","Tidak","-"
